timestamp_ms,cpu_usage,available_workers,io_queue,cpu_queue
0,0.0000,8,0,0
10,0.0000,8,0,0
20,0.0000,8,0,0
30,0.1000,7,1,0
40,0.1000,7,1,0
50,0.4500,6,0,1
60,0.4500,6,0,1
70,0.5500,5,1,0
80,0.5500,5,1,0
90,0.6500,4,1,0
100,0.6500,4,1,0
110,0.7500,3,1,0
121,0.7500,3,1,0
131,0.8500,2,1,0
141,0.9500,1,1,0
151,0.9500,1,1,0
161,0.9500,1,0,1
172,0.9500,1,0,1
182,0.9500,1,0,2
193,0.9500,1,0,2
203,0.9500,1,0,3
213,0.9500,1,0,3
223,0.8500,2,0,4
233,0.8500,2,0,4
243,0.9500,1,1,4
253,0.9500,1,1,4
263,0.8500,2,0,4
274,0.8500,2,0,4
284,0.7500,3,0,5
294,0.7500,3,0,5
304,0.7500,3,1,5
314,0.7500,3,1,5
324,0.7500,3,1,5
334,0.7500,3,1,5
344,0.7500,3,1,5
354,0.7500,3,1,5
364,0.8500,2,1,5
374,0.8500,2,1,5
384,0.8500,2,0,6
394,0.8500,2,0,6
404,0.9500,1,1,6
414,0.9500,1,1,6
425,0.9500,1,1,6
435,0.9500,1,1,6
445,0.7000,1,2,6
455,0.7000,1,2,6
465,0.7000,1,0,7
475,0.7000,1,0,7
485,0.8000,0,1,7
495,0.8000,0,1,7
505,0.7000,1,0,8
515,0.7000,1,0,8
525,0.7000,1,1,8
536,0.7000,1,1,8
546,0.7000,1,1,8
556,0.7000,1,1,8
566,0.9500,1,0,9
576,0.9500,1,0,9
586,0.9500,1,1,8
597,0.9500,1,1,8
607,0.9500,1,1,9
617,0.9500,1,1,9
627,0.9500,1,1,9
637,0.9500,1,1,9
648,0.8500,2,1,10
658,0.8500,2,1,10
668,0.9500,1,1,10
678,0.9500,1,1,10
688,0.9500,1,1,10
698,0.9500,1,1,10
708,0.9500,1,1,10
718,0.9500,1,1,10
728,0.9500,1,1,11
739,0.9500,1,1,11
751,0.9500,1,1,11
761,0.9500,1,1,11
771,0.7000,1,1,11
781,0.7000,1,1,11
791,0.8000,0,1,11
801,0.8000,0,1,11
811,0.7000,1,0,12
822,0.7000,1,0,12
832,0.7000,1,0,13
842,0.7000,1,0,13
852,0.9500,1,0,14
863,0.9500,1,0,14
873,0.9500,1,1,13
883,0.9500,1,1,13
893,0.9500,1,1,13
903,0.9500,1,1,13
913,0.9500,1,0,14
924,0.9500,1,0,14
934,0.9500,1,1,14
944,0.9500,1,1,14
954,0.9500,1,1,14
964,0.9500,1,1,14
974,0.9500,1,1,14
984,0.9500,1,1,14
994,0.8500,2,0,15
1004,0.8500,2,0,15
1014,0.9500,1,1,15
1024,0.9500,1,1,15
1034,0.9500,1,0,16
1044,0.9500,1,0,16
1057,0.9500,1,0,17
1067,0.9500,1,0,17
1077,0.9500,1,1,16
1087,0.9500,1,1,16
1098,0.9500,1,1,16
1108,0.9500,1,1,16
1118,0.9500,1,1,16
1128,0.9500,1,1,16
1139,0.8500,2,1,16
1149,0.8500,2,1,17
1159,0.8500,2,1,17
1169,0.8500,2,1,17
1179,0.8500,2,1,17
1189,0.8500,2,0,18
1200,0.8500,2,0,18
1210,0.7500,3,0,19
1220,0.7500,3,0,19
1230,0.8500,2,1,19
1240,0.8500,2,1,19
1250,0.8500,2,0,20
1264,0.9500,1,1,20
1274,0.9500,1,1,20
1286,0.9500,2,1,19
1296,0.9500,1,1,19
1309,0.9500,1,1,19
1319,0.9500,1,1,19
1329,0.9500,1,1,19
1339,0.9500,1,1,19
1349,0.9500,1,1,20
1360,0.8500,2,1,20
1370,0.9500,1,1,20
1380,0.9500,1,1,20
1390,0.9500,1,1,20
1400,0.9500,1,1,20
1410,0.9500,1,2,20
1420,0.9500,1,2,20
1430,0.9500,1,3,20
1440,0.9500,1,3,20
1451,0.9500,1,3,20
1461,0.9500,1,3,20
1471,0.9000,0,4,20
1481,0.9000,0,4,20
1491,0.8000,0,0,21
1501,0.8000,0,0,21
1511,0.8000,0,1,21
1521,0.8000,0,1,21
1531,0.8000,0,1,21
1542,0.8000,0,1,21
1552,0.8000,0,1,22
1562,0.8000,0,1,22
1572,0.8000,0,1,22
1582,0.8000,0,1,22
1592,0.8000,0,0,23
1602,0.8000,0,0,23
1612,0.8000,0,0,24
1622,0.8000,0,0,24
1632,0.8000,0,1,24
1642,0.8000,0,1,24
1652,0.8000,0,1,24
1663,0.8000,0,1,24
1673,0.7000,1,2,24
1683,0.7000,1,2,24
1693,0.7000,1,1,24
1703,0.7000,1,1,24
1713,0.7000,1,1,24
1723,0.7000,1,1,24
1733,0.8000,0,1,24
1743,0.8000,0,1,24
1753,0.8000,0,1,24
1763,0.8000,0,1,24
1773,0.8000,0,1,24
1783,0.8000,0,1,24
1794,0.8000,0,1,24
1804,0.8000,0,1,24
1814,0.8000,0,2,24
1824,0.8000,0,2,24
1834,0.9000,0,2,25
1844,0.9000,0,2,25
1854,0.9000,0,0,26
1864,0.9000,0,0,26
1875,0.8000,0,1,26
1885,0.8000,0,1,26
1895,0.7000,1,0,27
1905,0.7000,1,0,27
1915,0.9500,1,0,28
1925,0.9500,1,0,28
1935,0.9500,1,1,27
1945,0.9500,1,1,27
1955,0.8500,2,0,28
1965,0.8500,2,0,28
1975,0.8500,2,1,28
1985,0.8500,2,1,28
1995,0.9500,1,1,28
2005,0.9500,1,1,28
2015,0.9500,1,1,28
2026,0.9500,1,1,28
2036,0.9500,1,2,28
2046,0.9500,1,2,28
2056,0.9500,1,2,28
2066,0.9500,1,2,28
2076,0.9500,1,3,28
2086,0.9500,1,3,28
2096,0.9500,1,2,28
2106,0.9500,1,2,28
2116,0.8000,0,2,29
2126,0.8000,0,2,29
2136,0.7000,1,0,30
2147,0.7000,1,0,30
2157,0.8000,0,1,30
2167,0.8000,0,1,30
2177,0.8000,0,1,30
2187,0.8000,0,1,30
2197,0.7000,1,0,31
2207,0.7000,1,0,31
2217,0.8000,0,1,31
2227,0.8000,0,1,31
2237,0.8000,0,1,31
2247,0.8000,0,1,31
2257,0.8000,0,1,31
2268,0.8000,0,1,31
2278,0.8000,0,2,31
2288,0.8000,0,2,31
2298,0.8000,0,0,32
2308,0.8000,0,0,32
2318,0.7000,1,1,32
2328,0.7000,1,1,32
2338,0.8000,0,1,32
2348,0.8000,0,1,32
2358,0.8000,0,1,32
2368,0.8000,0,1,32
2378,0.7000,1,0,33
2388,0.7000,1,0,33
2398,0.8000,0,1,33
2408,0.8000,0,1,33
2419,0.8000,0,1,33
2429,0.8000,0,1,33
2439,0.8000,0,1,33
2449,0.8000,0,1,33
2459,0.8000,0,1,33
2469,0.8000,0,1,33
2479,0.8000,0,2,33
2489,0.8000,0,2,33
2500,0.8000,0,0,34
2510,0.8000,0,0,34
2520,0.8000,0,1,34
2530,0.8000,0,1,34
2540,0.8000,0,1,34
2550,0.8000,0,1,34
2560,0.8000,0,1,34
2570,0.8000,0,1,34
2580,0.8000,0,0,35
2590,0.8000,0,0,35
2600,0.8000,0,1,35
2610,0.8000,0,1,35
2621,0.7000,1,0,36
2631,0.7000,1,0,36
2641,0.9500,1,0,37
2651,0.9500,1,0,37
2661,0.9500,1,1,36
2671,0.9500,1,1,36
2681,0.9500,1,2,36
2691,0.9500,1,2,36
2701,0.9500,1,1,36
2711,0.9500,1,1,36
2721,0.9500,1,1,37
2731,0.9500,1,1,37
2741,0.8500,2,0,38
2751,0.8500,2,0,38
2761,0.8500,2,1,38
2772,0.8500,2,1,38
2782,0.8500,2,0,39
2793,0.8500,2,0,39
2803,0.7500,3,0,40
2813,0.7500,3,0,40
2823,0.8500,2,1,40
2833,0.5000,3,1,40
2843,0.9500,1,1,40
2853,0.9500,1,1,40
2863,0.9500,1,0,40
2873,0.7500,3,0,40
2883,0.8500,2,1,40
2893,0.8500,2,1,40
2903,0.9500,1,1,40
2913,0.8500,2,1,40
2923,0.9500,1,1,40
2934,0.9500,1,1,40
2944,0.9500,1,1,40
2954,0.8500,2,1,40
2964,0.9500,1,2,40
2974,0.9500,1,2,40
2984,0.9500,1,1,41
2994,0.9500,1,1,41
3004,0.9500,1,2,41
3014,0.8500,2,2,41
3024,0.9500,1,3,41
