timestamp_ms,cpu_usage,available_workers,io_queue,cpu_queue
0,0.0000,8,0,0
10,0.0000,8,0,0
20,0.0000,8,0,0
30,0.1000,7,1,0
40,0.1000,7,1,0
50,0.4500,6,0,1
60,0.4500,6,0,1
70,0.5500,5,1,0
80,0.5500,5,1,0
90,0.6500,4,1,0
100,0.6500,4,1,0
111,0.7500,3,1,0
121,0.7500,3,1,0
131,0.8500,2,1,0
141,0.8500,2,1,0
151,0.9500,1,1,0
162,0.9500,1,0,1
172,0.9500,1,0,1
182,0.9500,1,0,2
193,0.9500,1,0,2
203,0.9500,1,0,3
213,0.9500,1,0,3
223,0.8500,2,0,4
233,0.8500,2,0,4
243,0.9500,1,1,4
253,0.9500,1,1,4
263,0.8500,2,0,4
273,0.8500,2,0,4
283,0.7500,3,0,5
293,0.7500,3,0,5
305,1.0000,3,1,5
315,1.0000,3,1,5
325,1.0000,3,2,4
335,1.0000,3,2,4
345,1.0000,3,2,4
355,1.0000,3,2,4
365,1.0000,3,2,4
375,1.0000,3,2,4
385,1.0000,3,2,5
395,1.0000,3,2,5
405,1.0000,3,3,5
416,1.0000,3,3,5
426,1.0000,3,4,5
436,1.0000,3,4,5
446,1.0000,3,5,5
456,1.0000,3,5,5
466,1.0000,3,4,5
476,1.0000,3,4,5
486,1.0000,3,5,5
496,1.0000,3,5,5
506,1.0000,3,5,6
516,1.0000,3,5,6
526,0.9000,4,5,6
536,1.0000,3,6,5
546,0.9000,4,6,5
556,1.0000,3,6,5
566,1.0000,3,6,5
577,1.0000,3,5,6
587,1.0000,3,5,6
597,1.0000,3,6,6
608,1.0000,3,6,6
618,1.0000,3,6,7
628,1.0000,3,6,7
638,1.0000,3,7,7
648,0.5500,5,7,7
660,1.0000,3,7,8
670,1.0000,3,7,8
680,1.0000,3,7,7
690,1.0000,3,7,7
700,1.0000,3,8,7
710,0.6500,4,8,7
721,1.0000,3,9,7
731,0.9000,4,9,7
741,1.0000,3,9,7
751,0.9000,4,9,7
761,1.0000,3,9,7
771,1.0000,3,9,7
781,1.0000,3,9,7
793,1.0000,3,9,7
803,1.0000,3,10,7
813,1.0000,3,10,7
823,1.0000,3,10,8
833,1.0000,3,10,8
843,1.0000,3,10,9
853,1.0000,3,10,9
863,1.0000,3,10,10
873,1.0000,3,10,10
885,1.0000,3,10,9
895,1.0000,3,10,9
905,1.0000,3,11,9
915,1.0000,3,11,9
925,1.0000,3,11,10
935,1.0000,3,11,10
945,1.0000,3,12,9
955,1.0000,3,12,9
965,1.0000,3,12,9
975,1.0000,3,12,9
986,1.0000,3,12,9
996,1.0000,3,12,9
1006,1.0000,3,12,10
1016,1.0000,3,12,10
1026,1.0000,3,13,10
1036,1.0000,3,13,10
1046,1.0000,3,13,11
1056,1.0000,3,13,11
1066,1.0000,3,13,12
1076,1.0000,3,13,12
1086,1.0000,3,13,11
1096,1.0000,3,13,11
1106,1.0000,3,14,11
1116,1.0000,3,14,11
1126,1.0000,3,15,11
1136,1.0000,3,15,11
1147,0.9000,4,15,11
1157,1.0000,3,15,11
1167,0.9000,4,15,11
1177,1.0000,3,15,11
1187,1.0000,3,15,11
1197,1.0000,3,14,12
1207,1.0000,3,14,12
1217,1.0000,3,14,13
1227,1.0000,3,14,13
1237,1.0000,3,15,13
1247,1.0000,3,15,13
1257,1.0000,3,15,14
1267,0.5500,5,15,14
1279,1.0000,3,16,14
1289,1.0000,3,16,13
1299,1.0000,3,16,13
1309,1.0000,3,16,13
1319,1.0000,3,17,13
1329,0.6500,4,17,13
1339,1.0000,3,18,13
1349,1.0000,3,18,13
1359,1.0000,3,18,13
1369,0.9000,4,18,13
1379,1.0000,3,18,13
1389,1.0000,3,18,13
1399,1.0000,3,18,13
1410,1.0000,3,18,13
1420,1.0000,3,19,13
1430,1.0000,3,19,13
1440,1.0000,3,20,13
1450,1.0000,3,20,13
1460,1.0000,3,21,13
1470,0.5500,5,21,13
1482,1.0000,3,22,13
1492,1.0000,3,21,13
1502,1.0000,3,21,13
1512,1.0000,3,22,13
1522,1.0000,3,22,13
1532,1.0000,3,23,13
1542,1.0000,3,23,13
1552,1.0000,3,23,13
1562,1.0000,3,23,13
1572,0.9000,4,23,13
1582,1.0000,3,23,13
1592,1.0000,3,23,13
1603,1.0000,3,22,14
1613,1.0000,3,22,14
1623,1.0000,3,22,15
1633,1.0000,3,22,15
1643,1.0000,3,23,15
1653,1.0000,3,23,15
1663,1.0000,3,24,15
1673,0.5500,5,24,15
1684,1.0000,3,25,15
1694,1.0000,3,25,15
1704,1.0000,3,25,14
1714,1.0000,3,25,14
1724,1.0000,3,26,14
1734,0.6500,4,26,14
1744,1.0000,3,27,14
1756,0.9000,4,27,14
1766,1.0000,3,28,13
1776,0.9000,4,28,13
1786,1.0000,3,28,13
1796,1.0000,3,28,13
1806,1.0000,3,28,13
1816,1.0000,3,28,13
1826,1.0000,3,29,13
1836,1.0000,3,29,14
1846,1.0000,3,29,14
1856,1.0000,3,29,15
1866,1.0000,3,29,15
1877,0.5500,5,29,15
1887,1.0000,3,30,15
1897,1.0000,3,30,15
1907,1.0000,3,29,15
1917,1.0000,3,29,16
1927,1.0000,3,29,16
1937,1.0000,3,30,16
1948,1.0000,3,30,16
1958,0.9000,4,30,16
1969,0.9000,4,30,16
1979,1.0000,3,31,16
1989,1.0000,3,31,16
1999,1.0000,3,30,16
2009,1.0000,3,30,16
2019,1.0000,3,31,16
2029,1.0000,3,31,16
2039,1.0000,3,32,16
2049,1.0000,3,32,16
2059,1.0000,3,33,16
2069,1.0000,3,33,16
2079,1.0000,3,34,16
2090,1.0000,3,34,16
2100,1.0000,3,34,15
2110,1.0000,3,34,15
2120,1.0000,3,34,16
2130,1.0000,3,34,16
2140,1.0000,3,34,17
2150,1.0000,3,34,17
2160,1.0000,3,35,16
2170,1.0000,3,35,16
2180,1.0000,4,36,16
2190,1.0000,3,36,16
2200,1.0000,3,34,17
2210,1.0000,3,34,17
2220,1.0000,3,35,17
2230,1.0000,3,35,17
2241,1.0000,3,36,17
2251,1.0000,3,36,17
2261,1.0000,3,37,17
2271,1.0000,3,37,17
2281,1.0000,3,38,17
2291,1.0000,3,38,17
2301,1.0000,3,38,17
2311,1.0000,3,37,17
2321,1.0000,3,37,17
2331,1.0000,3,38,17
2341,0.6500,4,38,17
2352,1.0000,3,39,17
2362,1.0000,3,39,17
2372,1.0000,3,40,16
2382,0.8000,5,40,16
2392,1.0000,3,40,17
2402,1.0000,3,40,17
2412,1.0000,3,39,17
2422,1.0000,3,39,17
2433,1.0000,3,40,17
2443,1.0000,3,40,17
2453,1.0000,3,41,17
2463,1.0000,3,41,17
2473,1.0000,3,42,17
2483,0.5500,5,42,17
2495,1.0000,3,43,17
2505,1.0000,3,43,17
2515,1.0000,3,42,17
2525,1.0000,3,43,17
2535,1.0000,3,43,17
2545,1.0000,3,44,17
2555,1.0000,3,44,17
2565,1.0000,3,44,17
2575,1.0000,3,45,16
2585,0.8000,5,45,16
2595,1.0000,3,45,17
2605,1.0000,3,45,17
2615,1.0000,3,44,17
2625,1.0000,3,44,17
2636,1.0000,3,44,18
2646,1.0000,3,44,18
2656,1.0000,3,44,19
2666,1.0000,3,44,19
2676,1.0000,3,45,19
2686,0.5500,5,45,19
2696,1.0000,3,46,19
2706,1.0000,3,46,19
2716,1.0000,3,46,18
2726,1.0000,3,46,18
2736,1.0000,3,46,19
2746,0.6500,4,46,19
2756,1.0000,3,46,20
2766,1.0000,3,46,20
2776,1.0000,3,47,19
2786,0.9000,4,47,19
2796,1.0000,3,47,20
2806,1.0000,3,47,20
2816,1.0000,3,45,21
2827,1.0000,3,45,21
2839,1.0000,3,46,21
2849,1.0000,3,47,21
2859,1.0000,3,47,21
2869,1.0000,3,47,22
2879,1.0000,3,47,22
2889,1.0000,3,48,22
2899,1.0000,3,48,22
2909,1.0000,3,48,22
2919,1.0000,3,48,21
2929,1.0000,3,49,21
2939,1.0000,3,49,21
2949,1.0000,3,50,21
2959,1.0000,3,50,21
2969,1.0000,3,50,21
2980,1.0000,3,51,20
2992,0.8000,5,51,20
3008,1.0000,3,51,21
3019,1.0000,3,50,21
3029,1.0000,3,50,21
